Frequency_Hz,COB1_1uA_Input_ASD_nV_per_sqrtHz,COB1_2uA_Input_ASD_nV_per_sqrtHz,COB1_4uA_Input_ASD_nV_per_sqrtHz,COB2_1uA_Input_ASD_nV_per_sqrtHz,COB2_2uA_Input_ASD_nV_per_sqrtHz,COB2_4uA_Input_ASD_nV_per_sqrtHz,COB3_1uA_Input_ASD_nV_per_sqrtHz,COB3_2uA_Input_ASD_nV_per_sqrtHz,COB3_4uA_Input_ASD_nV_per_sqrtHz
0.111111111111111,148.21926464451,157.448611316574,440.801369735805,85.8908084591376,119.38827051812,5546.79946196192,132.533887059175,133.218037208097,5694.29850195047
0.166666666666667,89.7243414984613,128.797504765445,324.334347190218,77.7373629575725,102.215582773299,4412.47908910075,100.479979108708,80.362508083202,4198.4868930931
0.222222222222222,82.2563150591903,96.3701919032208,248.858607614941,64.3055124909444,88.1239260419673,4044.40564731975,106.460094390401,60.5518135641303,3195.74682479136
0.277777777777778,86.0861951321001,101.809940878349,301.391979109925,76.0854879532023,74.1500659373596,3951.2689114714,89.7657607970367,84.8406215330317,2950.09224059884
0.333333333333333,70.0913846796953,112.193772750112,317.21230385106,97.7580552369525,66.1148815660744,3134.79560749668,71.0237019441974,69.058147235718,3022.93816832803
0.388888888888889,69.7617967053555,108.660599880756,292.557809227758,73.2554834363796,71.4901401040528,2090.35462410276,83.9103447540036,54.3312235019209,2939.34160896858
0.444444444444444,59.0816970068365,92.6645615515892,283.952139355264,55.6466137680091,77.0524300072043,2188.09090969253,73.096712405925,32.4334705242437,2474.14841605669
0.5,85.1060315815347,82.8889696002342,296.779607747142,42.9661302610237,82.822980462353,2017.64255859236,70.6199824831391,47.5870262611364,1746.20928883078
0.555555555555555,76.3854393217459,68.6826377252924,182.114076937375,38.6868029264179,58.7809669763454,2466.12926507927,68.4109501792461,51.0476346184421,2351.77721104585
0.611111111111111,64.6396969265849,86.2420869954353,176.902779717003,56.9330261412323,57.3594377844704,2248.5018159799,84.9777326926608,36.0291913000499,1726.33228848108
0.666666666666667,50.7959671046601,103.117006386006,225.116153329933,59.1780180588319,64.0240615817124,1887.86429206901,61.0420705127789,39.1781194443913,2120.39321981648
0.722222222222222,57.246408622005,74.2809043664493,188.807093047259,52.4841994423175,54.311024688564,1999.3415091928,61.4950004002005,43.4747776951104,2345.01989129586
0.777777777777778,52.2492154288669,62.8236645439926,176.813669095326,52.8405597103173,37.4879935413662,2599.099572319,57.1153474094421,48.7186640428421,1881.10440195554
0.833333333333333,53.6124339879756,80.5453550717622,167.69272452276,44.42361815267,44.320102248123,2126.42875769304,40.7873206172255,40.0344403743365,2092.778313464
0.888888888888889,50.3588758960887,69.6818232581262,163.829450596395,34.065056501032,36.7328053091676,1865.29523592769,46.8687891751763,38.3116350094078,1510.89361028227
0.944444444444444,44.2921282059567,64.2561493545951,156.916613958555,40.5356424458739,35.0944094626297,2001.56520053243,38.4096339268495,32.6400209260513,1499.54400929759
1,61.2041008279311,48.9953678394508,145.116598217971,52.4895044599089,47.4114028428842,1696.10825715933,48.6145115127222,41.9975741835811,1758.01232245306
1.05555555555556,47.0634440875721,60.5667386432201,133.489458878354,37.1365386248393,41.1338721704249,1876.05669610495,34.4436807441656,39.4290900299085,2068.6667915382
1.11111111111111,36.5793337882695,54.6243959144314,198.250226270069,27.5539344766122,37.8892649688875,1887.18202695044,35.5576248487543,23.2736797777801,1972.3313037301
1.16666666666667,26.287410189286,55.1010947737276,202.427124311747,34.8659158679882,51.177586012753,1670.99765232821,39.5370853276904,26.9460376716511,1971.84345371386
1.22222222222222,34.6848216917453,46.7461766635982,134.739970862916,32.6538156049865,40.7012335163338,1349.74842571291,52.4419342556546,28.5038498299801,1911.55062450009
1.27777777777778,38.4767968756543,44.9728954687318,137.770000707062,39.1263076614956,36.2515077964288,1531.81082251649,51.8295389155571,32.7307130892466,1743.67612134707
1.33333333333333,52.28737779459,50.3152722016507,147.833394623486,50.8314219975938,43.5312821300222,1663.93940411068,44.781272344389,37.9978660894335,1730.67468674973
1.38888888888889,46.2330609655992,62.457662929451,131.262952505744,43.1280489233579,50.1519117636003,1624.51311719338,40.7136548955618,32.4107696325482,1761.16992772081
1.44444444444444,45.451022819734,44.2837368142812,139.467509485274,44.3159105591693,30.1104469570139,1343.29025203612,57.3280064463777,35.2255001255312,1516.21468522361
1.5,48.371584351232,43.8691621556928,145.380961771901,38.1815424166647,30.0364128621527,1443.66530271619,49.3455980477036,40.0392580971568,1484.94403007322
1.55555555555556,47.2038599529821,48.9565541147684,111.979958018155,36.7168998938684,32.6765529244004,1601.62684873583,27.8014124690273,25.255138928516,1143.09463288776
1.61111111111111,33.2233686333105,56.6749905115341,111.127677549428,33.073693208743,33.0024498102535,1129.40542735401,49.6495882300795,29.9958183456231,1092.95577307899
1.66666666666667,35.2038980383293,46.9173314998643,141.398841947688,29.5993607622268,37.8162275127433,1352.93078954826,49.3885627278669,34.1243866611719,1004.89229994358
1.72222222222222,38.2822151445018,31.8293484358507,145.099254914479,29.9919199751292,28.250005679611,1136.31953022034,32.4673505239435,26.9169305317269,1180.59019510791
1.77777777777778,33.6312462078942,46.2544871665902,100.372295948671,32.0661047127573,29.1277750428617,1060.36203338243,32.0651918812925,24.8366394110045,1466.71135998012
1.83333333333333,35.9105116041678,52.7002344432505,115.944356589775,26.7170496225754,32.9284737806276,1054.54077698671,39.8189223176509,25.037971378782,1392.39560218999
1.88888888888889,41.1506710686013,58.2360328453089,117.844070526125,23.607603926257,41.1113253390257,1045.3384622396,45.5305417467827,27.1107964395343,1068.89892014881
1.94444444444444,42.3325382172331,60.7134887982354,114.762740817305,30.5886381241158,44.405014202973,980.394621755432,43.5626767410085,36.1292616633006,867.566108921861
2,46.773047445699,54.6818467252202,153.808402762308,37.552689541245,42.902272806323,1326.19119855837,39.4576728136401,50.9110991434505,1035.03389975073
2.05555555555556,33.3884608504816,52.8697672508254,141.529228758381,30.4453766253985,27.7913922276643,1141.02735269251,46.4519227410304,38.9140663451226,1001.06859404495
2.11111111111111,34.8904286137886,33.8140997506385,127.539196146683,28.6252298208587,25.1569463169137,964.466991721144,45.9522579607252,35.5538776380015,1299.32828245348
2.16666666666667,35.0623599385549,47.5523255481922,131.246895075284,27.9809000453488,29.9386144740361,876.298941693142,31.3106199995191,30.7513223735556,1458.59381561355
2.22222222222222,40.1288381693842,52.3035543897754,143.918689121426,24.4344140373883,27.8817157479058,894.718147080104,40.0412801775879,31.8337278584134,1565.10961533239
2.27777777777778,35.3445600127258,49.4448783784889,134.681050678274,31.6257958355139,30.768762439138,1102.85308782255,35.4599955876154,28.9932609578857,1311.07074388583
2.33333333333333,32.1673401573404,47.2832979219387,118.721425788858,34.3959118402195,33.3490406981743,907.245029026137,36.0116150303141,27.5691753166836,1245.26746628833
2.38888888888889,30.074492732829,41.1033947122214,105.843218428079,31.3774911892069,28.9074731614496,1047.66462731974,27.842672471439,20.3902446705941,1264.11293104334
