Frequency_Hz,Current1p2_ASD_V_per_rtHz,NominalCurrent_ASD_V_per_rtHz,Current1p2_vs_Nominal_dB
1,5.53853032301585e-06,7.32706505203086e-06,-2.43071019158648
1.0594630943593,5.53737337314221e-06,7.2236689655908e-06,-2.30908055179088
1.12246204830937,5.53600171913952e-06,7.09916276349579e-06,-2.16021834209628
1.18920711500272,5.65123971905112e-06,7.26816396546142e-06,-2.18561972427792
1.25992104989487,5.7506785167007e-06,7.41361013490354e-06,-2.20621308093599
1.33483985417003,6.01712989839065e-06,7.01243092865898e-06,-1.32958418736484
1.4142135623731,6.062844296979e-06,6.87475941663172e-06,-1.09162179042105
1.49830707687668,5.99116793064371e-06,6.76257570364778e-06,-1.0520129389147
1.5874010519682,5.57642724224731e-06,6.1441490751971e-06,-0.84211408496802
1.68179283050743,5.444173657277e-06,6.13571249491918e-06,-1.03866063196176
1.78179743628068,5.3660538493422e-06,6.32962845064501e-06,-1.43446382169917
1.88774862536339,5.07937261041906e-06,6.25378023996388e-06,-1.80665086260642
2,4.62420078822605e-06,6.20821526440645e-06,-2.55860167785008
2.11892618871859,4.88250308635958e-06,6.00807075515966e-06,-1.80185024173441
2.24492409661875,5.63380842749082e-06,5.73367913669791e-06,-0.152626211126407
2.37841423000544,5.31443867301447e-06,5.46346903269953e-06,-0.240221720337608
2.51984209978975,5.04424271541195e-06,5.64346073628651e-06,-0.974990647011785
2.66967970834007,5.0035427571343e-06,5.70756849454311e-06,-1.14347033331744
2.82842712474619,4.77876873930519e-06,5.62823798742618e-06,-1.42112878065599
2.99661415375336,4.8129271911109e-06,5.62881647995716e-06,-1.36015594965087
3.1748021039364,4.95053480342644e-06,5.91545487036152e-06,-1.54672054756725
3.36358566101486,5.0054384506577e-06,5.61711591724585e-06,-1.00142521628767
3.56359487256136,5.03735301767012e-06,5.19984640324975e-06,-0.275762560938487
3.77549725072677,4.72744520989897e-06,5.56880038708232e-06,-1.42270293552202
4,4.86994520656261e-06,5.55205274378045e-06,-1.13859016725725
4.23785237743718,4.83265243890116e-06,5.40465519966084e-06,-0.971648608556874
4.48984819323749,5.14616549472076e-06,5.6836385647831e-06,-0.862854077504193
