run_number,asd_1_hz_nv_per_sqrt_hz,asd_1000_hz_nv_per_sqrt_hz
1,4.7523486146602316,4.6567548558774394
2,4.9025445609862297,4.6351406430241209
3,4.9986141025313282,4.5964268274774929
4,5.325763099964826,4.6992203945894895
5,5.3025107809547087,4.6496742864776541
6,4.9091665189944509,4.638999436666797
7,4.5963702578487498,4.7306700238957706
8,4.3113280769909306,4.7164875663213719
9,5.2717528269215936,4.663150941844286
10,5.520988918945176,4.7108441320527463
11,5.4263626153133133,4.6655696065786101
12,5.7097569693807451,4.6467840931418438
13,5.1774674590713747,4.595862134029983
14,4.9330451397161177,4.6836878987952293
15,4.6020502002948955,4.6014480068090551
16,5.4583585612946059,4.6142649010811319
17,5.8691743807109225,4.6956824724183113
18,4.8492906924623034,4.5807097261360026
19,4.3911155742435808,4.6396570848425496
20,6.1077855546084958,4.6618154268271077
21,5.151681410325744,4.6789750215095802
22,4.531002510017788,4.7518863895723618
23,4.9675721872136318,4.6561327230360021
24,4.8580896844534642,4.7287911590221743
25,4.6308632930744897,4.6806533990786434
26,5.5390936827684687,4.6959115162198639
27,4.7324115418336667,4.6049978094793662
28,4.3210118630571808,4.6764718656600488
29,5.1330896909584682,4.673046084993425
30,4.8290726307736795,4.6750845518103104
31,5.1310983156350307,4.7183033255863158
32,5.7421346034013379,4.6469832836883844
33,4.7351626223616696,4.6327757926208122
34,5.0060547690006576,4.6323550208406541
35,4.7821805236467352,4.7856995615589266
36,5.8094143029738108,4.6317511756010052
37,6.2383077976443122,4.679419739213464
38,5.1066602841198492,4.6627395571011077
39,3.8216757356798099,4.6845576475504211
40,5.7028761437972904,4.6682411927562644
41,5.6043757701257473,4.6544102395280769
42,4.999157341555911,4.7357668957398218
43,5.5495350394802516,4.6408571578061455
44,5.2199137469506667,4.7087760445003886
45,6.0126267832884954,4.7431598613487944
46,4.722667521308245,4.6461904967442269
47,4.8995921473566657,4.7227600021558311
48,5.9418768787356759,4.7092409647751436
49,5.3531960640047505,4.7145163261152963
50,5.0604697883215133,4.606836659509832
51,5.5005983109768071,4.6446531977378669
52,3.4687300711201998,4.7892549984854815
53,4.2318320615308584,4.6799020485417904
54,5.0863330872684962,4.6138231949777815
55,5.1599452907371646,4.636986910121621
56,6.0125089121391362,4.7175323711562962
57,4.9130262306289376,4.689394847957173
58,4.9008834364393694,4.6891810037681037
59,4.5527122540178926,4.7052673167078156
60,5.4044665861488577,4.6598131788899311
61,5.5417252749445964,4.6218898249989371
62,5.1520377824391916,4.7240330602604086
63,5.2760818889556038,4.580804148587255
64,4.8819060071506799,4.706774056251855
65,4.8603874891697467,4.6927368366516697
66,3.9984496789781971,4.6436444868315156
67,4.6887298212128057,4.6948296879378306
68,5.165465430899804,4.6264100169510858
69,4.7291885505585043,4.558532776050404
70,4.9367166792695514,4.7524151198705056
71,4.1865837032550024,4.6091954857407433
72,4.7176703442380692,4.7049192925736465
73,5.2042038555613601,4.6018183346870245
74,4.8074627973547877,4.6703936186081645
75,5.3570713546049928,4.6296373196153322
76,5.2658603905349999,4.5889912417746475
77,5.4206408746178889,4.7577987761866938
78,5.7786384325360629,4.5950775411592755
79,4.7441963836908725,4.7024145009465927
80,4.9236396274069198,4.6630025085185478
81,5.9872917440919471,4.6407844653896309
82,4.8306513003341092,4.563049093513408
83,4.6885608456708017,4.6707704921454614
84,5.3875050718958395,4.6160133683364339
85,3.7176510857856746,4.6467263020304621
86,5.1000589333753856,4.7141222435244163
87,5.8234918760110563,4.7291340514084004
88,5.8086850373310872,4.692353704252362
89,4.5687473173475848,4.7279653276427149
90,4.576684188178942,4.7145851172225433
91,5.6445999595026475,4.7607888356589978
92,5.9010108837187758,4.7284760680818136
93,5.5098305393624027,4.6967140984489228
94,4.9917341496497798,4.6787247266728755
95,4.1568374013527434,4.646917870994046
96,5.0031937470386083,4.5859566445191904
97,6.5705422359446146,4.7349788984808043
98,6.0596359396982766,4.64961205468832
99,4.2652788889145885,4.7375246289702897
100,5.4193394314461694,4.6278519493461099
