Condition,ConditionDirectory,RunCount,SamplesPerRun,SampleRateHz,RecordDurationSPerRun,WelchSegmentsPerRun,TotalWelchSegmentCount,FrequencyResolutionHz,QuietBandMedianInputAsdNVrtHz,Mains50HzInputAsdNVrtHz,IntegratedNoise0p1To10NVrms,IntegratedNoise0p1To100NVrms
±3 V，无屏蔽罩,[raw waveform omitted; see data/raw/README.md],10,977436,50000,19.54872,2,20,0.1,5.42669956562706,393.364937673224,19.2281226063177,168.440143630881
±3 V，有屏蔽罩,[raw waveform omitted; see data/raw/README.md],10,977436,50000,19.54872,2,20,0.1,5.49075028099174,390.791942684732,18.7990007244379,167.016583351963
±18 V，无屏蔽罩,[raw waveform omitted; see data/raw/README.md],10,977436,50000,19.54872,2,20,0.1,5.61307518151402,403.485805235154,20.4211676212459,170.24128747984
±18 V，有屏蔽罩,[raw waveform omitted; see data/raw/README.md],10,977436,50000,19.54872,2,20,0.1,5.63740164426467,412.769485062927,19.7937085985895,172.981037198352
