Row,ASD_1Hz_nVrtHz,Median_1_10,Median_10_100,Median_100_1k,Median_1k_10k,Median_100_10k,Integrated_0p1_10_uVrms,Integrated_0p1_100_uVrms
"+/-3 V, 10 captures",93.9867757085074,41.8395123910412,18.753135213799,8.35171150300009,5.49628493197538,5.60653434725989,0.182265981232466,0.407048436626527
"+/-6 V, 10 captures",44.7012534745483,22.6716837868513,12.8111402838493,6.87173224273597,5.28001650188465,5.37094316801651,0.0907361733478205,0.274866265060937
