Frequency_Hz,Supply3V3_10Capture_ASD_nV_per_sqrtHz,Supply6V6_10Capture_ASD_nV_per_sqrtHz
1.05555555555556,97.0938638213289,29.9185195978691
1.11111111111111,82.4017031483393,29.7542358637059
1.16666666666667,68.3593452143226,30.6646122105434
1.22222222222222,81.4237022058223,27.6445547845658
1.27777777777778,86.6899340099882,35.8985475969902
1.33333333333333,76.3223072857857,38.0278976952889
1.38888888888889,53.1920700741111,29.9043653427946
1.44444444444444,48.9920673631629,43.6701112900849
1.5,60.338172949149,35.9989127144063
1.55555555555556,67.0878030668825,34.1298099956923
1.61111111111111,70.2891398642207,31.3035443070925
1.66666666666667,65.1919125940431,34.9708298449416
1.72222222222222,77.4940378299492,36.8947035838081
1.77777777777778,92.5878951398763,40.2538939503893
1.83333333333333,73.761301152188,45.1485907625118
1.88888888888889,77.9513636762058,61.9725984875159
1.94444444444444,95.7216893785049,67.2880639006358
2,113.453959995437,56.1690663335661
2.05555555555556,61.3945736727702,32.4802593081949
2.11111111111111,52.9979564838935,27.0699191018046
2.16666666666667,45.8367641379468,26.876911932798
2.22222222222222,49.131910657179,22.8601500894968
2.27777777777778,47.5550040944598,28.7943511749158
2.33333333333333,50.7015745551358,28.4885460450463
2.38888888888889,65.9499624117214,28.4156738823367
2.44444444444444,75.6039030449767,34.3584898848588
2.5,80.0843155535147,32.2843703780989
2.55555555555555,80.4213373158907,33.9233798384536
2.61111111111111,84.2943416718295,37.39993112273
2.66666666666667,73.428091414951,33.8756452539155
2.72222222222222,63.4175819785879,25.1437820411543
2.77777777777778,60.8052427472298,25.4651766397686
2.83333333333333,45.9742510625631,28.0276404101871
2.88888888888889,44.2806095986713,34.8515793116751
2.94444444444444,64.455324348585,27.147089417738
3,64.2207734124807,32.868204673238
3.05555555555555,52.6121776998113,26.1807227911525
3.11111111111111,44.2498993963568,27.2655497868286
3.16666666666667,48.3837600262241,25.991223341666
3.22222222222222,62.7057885837926,27.8175832262559
3.27777777777778,51.8943533903114,30.5496967074468
3.33333333333333,46.8911312885343,26.8742909539036
3.38888888888889,55.4903414514073,20.1927479911339
3.44444444444444,57.8100906238744,18.1535194530499
3.5,47.074648126603,23.0810336308191
3.55555555555555,55.2184579693149,29.8674962314637
3.61111111111111,54.6533861702975,32.6708403567263
3.66666666666667,59.9994850989088,28.3553154792316
3.72222222222222,50.6541110193864,30.3848517349686
3.77777777777778,43.9244910131843,31.709761795532
3.83333333333333,54.5766698129128,26.9730805077374
3.88888888888889,71.3858033385716,31.1272978908209
3.94444444444444,50.5183970257779,31.839980999072
4,47.3908321808085,31.6611574173356
4.05555555555555,43.4682557203946,26.9621538437633
