Frequency_Hz,COB1_1uA_Input_ASD_nV_per_sqrtHz
0.111111111111111,122.929611092464
0.166666666666667,52.7204857272856
0.222222222222222,63.8405212307884
0.277777777777778,56.9471917398813
0.333333333333333,30.9674379147852
0.388888888888889,41.0192981991432
0.444444444444444,38.6510268518978
0.5,42.6738754552954
0.555555555555555,48.5893275758446
0.611111111111111,52.0392095428168
0.666666666666667,53.34919758454
0.722222222222222,38.350055828018
0.777777777777778,30.6862679532453
0.833333333333333,34.978679268672
0.888888888888889,42.041081364947
0.944444444444444,47.9554959022909
1,44.7012534745483
1.05555555555556,29.9185195978691
1.11111111111111,29.7542358637059
1.16666666666667,30.6646122105434
1.22222222222222,27.6445547845658
1.27777777777778,35.8985475969902
1.33333333333333,38.0278976952889
1.38888888888889,29.9043653427946
1.44444444444444,43.6701112900849
1.5,35.9989127144063
1.55555555555556,34.1298099956923
1.61111111111111,31.3035443070925
1.66666666666667,34.9708298449416
1.72222222222222,36.8947035838081
1.77777777777778,40.2538939503893
1.83333333333333,45.1485907625118
1.88888888888889,61.9725984875159
1.94444444444444,67.2880639006358
2,56.1690663335661
2.05555555555556,32.4802593081949
2.11111111111111,27.0699191018046
2.16666666666667,26.876911932798
2.22222222222222,22.8601500894968
2.27777777777778,28.7943511749158
2.33333333333333,28.4885460450463
2.38888888888889,28.4156738823367
2.44444444444444,34.3584898848588
2.5,32.2843703780989
2.55555555555555,33.9233798384536
2.61111111111111,37.39993112273
2.66666666666667,33.8756452539155
2.72222222222222,25.1437820411543
2.77777777777778,25.4651766397686
2.83333333333333,28.0276404101871
2.88888888888889,34.8515793116751
2.94444444444444,27.147089417738
3,32.868204673238
3.05555555555555,26.1807227911525
3.11111111111111,27.2655497868286
3.16666666666667,25.991223341666
3.22222222222222,27.8175832262559
3.27777777777778,30.5496967074468
3.33333333333333,26.8742909539036
3.38888888888889,20.1927479911339
3.44444444444444,18.1535194530499
3.5,23.0810336308191
3.55555555555555,29.8674962314637
3.61111111111111,32.6708403567263
3.66666666666667,28.3553154792316
3.72222222222222,30.3848517349686
3.77777777777778,31.709761795532
3.83333333333333,26.9730805077374
3.88888888888889,31.1272978908209
3.94444444444444,31.839980999072
4,31.6611574173356
4.05555555555555,26.9621538437633
4.11111111111111,25.7625149659956
4.16666666666667,24.557005053643
4.22222222222222,21.2408843008249
4.27777777777778,21.9105725408118
4.33333333333333,25.5542249763662
4.38888888888889,24.6923850155726
4.44444444444444,22.691228155328
4.5,23.7326515983601
4.55555555555555,24.420261667576
4.61111111111111,19.6097960037376
4.66666666666667,22.5383954217584
4.72222222222222,23.789318283889
4.77777777777778,17.5432761523576
4.83333333333333,23.0493799591625
4.88888888888889,29.1032209696106
4.94444444444444,25.6510565067084
5,29.2709984161758
5.05555555555556,21.1694565663991
5.11111111111111,20.3965239826266
5.16666666666667,24.5579024314633
5.22222222222222,22.2955991696199
5.27777777777778,21.7753253364693
5.33333333333333,27.329455932386
5.38888888888889,23.0086876501597
5.44444444444444,19.0282600896512
5.5,18.4669600678096
5.55555555555555,17.7825240613036
5.61111111111111,20.3614786887542
5.66666666666667,20.9705399157415
5.72222222222222,20.4364503760064
5.77777777777778,26.9277435275647
5.83333333333333,25.071292193455
5.88888888888889,18.7993097469407
5.94444444444444,18.1563832467009
6,26.9209049148464
6.05555555555556,21.6975952610329
6.11111111111111,20.5296401630093
6.16666666666667,24.394175717978
6.22222222222222,21.8398026188167
6.27777777777778,23.7083740164124
6.33333333333333,21.7192037755913
6.38888888888889,20.6360950820864
6.44444444444444,16.2913922924597
6.5,11.4239406323311
6.55555555555555,17.0862533301101
6.61111111111111,15.0008892824303
6.66666666666667,18.4479240765539
6.72222222222222,17.4125100109151
6.77777777777778,19.1226580712128
6.83333333333333,21.7179766446399
6.88888888888889,18.2266212750987
6.94444444444444,17.9162647337256
7,19.0374871847225
7.05555555555555,19.2448813723568
7.11111111111111,19.1478125727449
7.16666666666667,22.0145773492875
7.22222222222222,24.0652977489088
7.27777777777778,22.6992939705111
7.33333333333333,20.313493502869
7.38888888888889,23.6488522852944
7.44444444444444,17.1921287885666
7.5,18.9604233045079
7.55555555555555,18.4248585366435
7.61111111111111,19.8330335564055
7.66666666666666,23.5791640445166
7.72222222222222,24.9544125805054
7.77777777777778,18.7734132775613
7.83333333333333,16.0872470955173
7.88888888888889,18.9586365199185
7.94444444444444,18.7179620386328
8,21.5830711227798
8.05555555555556,17.6558465578595
8.11111111111111,17.1679058861218
8.16666666666667,17.8192331697586
8.22222222222222,14.9963403723937
8.27777777777778,17.6255613681064
8.33333333333333,22.6521394183746
8.38888888888889,19.9745153239028
8.44444444444444,22.1222914572362
8.5,17.8798410747416
8.55555555555555,16.1631128725175
8.61111111111111,16.732302510621
8.66666666666666,17.6910975450479
8.72222222222222,13.1960116287473
8.77777777777778,17.4369243291866
8.83333333333333,21.767919395966
8.88888888888889,16.7658702214262
8.94444444444444,17.4548638598534
9,18.5751039296448
9.05555555555555,15.8822892891381
9.11111111111111,13.0743478539028
9.16666666666666,9.53858910547536
9.22222222222222,11.2480226069608
9.27777777777778,12.3097443526837
9.33333333333333,20.1602152300142
9.38888888888889,20.9396086857152
9.44444444444444,19.4498027093283
9.5,23.5681345381701
9.55555555555555,27.7487472411749
9.61111111111111,21.0743168631215
9.66666666666666,17.3291476819751
9.72222222222222,20.5042952651593
9.77777777777778,19.0382254669548
9.83333333333333,19.9264980575387
9.88888888888889,19.7133703499879
9.94444444444444,20.6328560536213
10,23.3007796959852
10.0555555555556,16.574232644822
10.1111111111111,14.7744142475692
10.1666666666667,16.4910668683461
10.2222222222222,15.9657196113165
10.2777777777778,19.1719814613795
10.3333333333333,18.6937634003031
10.3888888888889,13.9324932301456
10.4444444444444,17.0929693577567
10.5,18.9041355534003
10.5555555555556,15.3815977208461
10.6111111111111,14.8402139943048
10.6666666666667,17.7822377496858
10.7222222222222,18.4639535009217
10.7777777777778,14.6688507481669
10.8333333333333,13.8726659646564
10.8888888888889,13.3106724779229
