CobNumber,BiasCurrentMicroA,RunCount,MeanDcOutputV,MinDcOutputV,MaxDcOutputV,MeanTimeStdOutputV,MeanPeakToPeakOutputV,MedianInputAsd0p1To10NVrtHz,MedianInputAsd10To100NVrtHz,MedianInputAsd100To1kNVrtHz,MedianInputAsd1kTo10kNVrtHz,MedianInputAsd10kTo25kNVrtHz,IntegratedInputNoise0p1To10UVrms,IntegratedInputNoise0p1To100UVrms
1,1,10,-0.0287489682187509,-0.0314258386052809,-0.0274562438680211,0.00107909875471588,0.0166088970316575,21.4283707835242,9.1189956327508,6.03701549545401,5.19908579881138,6.80314628421248,0.102476872783072,0.189984427338696
1,2,10,-0.0264586057488447,-0.0272663987586882,-0.0258269443676807,0.00730318085544333,0.0730231886092141,30.981164650687,9.84239015916524,5.3036333625027,6.37157991316534,55.2178907845917,0.134357583313425,0.241288666108552
1,4,10,-0.0236107053632005,-0.0257239856419418,-0.0220301963254673,0.00076830582811703,0.0122546881138947,72.4240359729267,23.5092520116112,8.09472963670937,2.35821487768555,1.91658463575707,0.345321028500322,0.496784355111172
2,1,10,-0.0265097549247736,-0.0268569824692849,-0.0262359727466351,0.000863320136454268,0.0149062523410459,20.5048745317917,9.55349364251245,6.07650097781638,5.06290178894649,4.98335195001071,0.0900199516034724,0.176734999569724
2,2,10,-0.0267835370206598,-0.0279793254844496,-0.0260631462428359,0.00301474083135921,0.0348765469057099,22.4699032276652,9.4106039879858,5.68650672007133,5.54883905005093,22.227945744687,0.0979804129926692,0.184780024929955
2,4,10,-0.0459016760924249,-0.0481782371787229,-0.0437715597702444,0.00885858447003965,0.084566296716067,827.914070166721,238.81591432122,75.4950270632647,27.3681708952721,47.9617189717038,3.78503457085478,4.63600988747957
3,1,10,-0.0216241175650413,-0.0231127390035854,-0.0199893008762125,0.00090961953139321,0.016818370892465,22.8818077870376,8.76159655193725,5.99696723422283,5.13177600162722,5.3142591283802,0.105710803882013,0.19447912038507
3,2,10,-0.0218849845225744,-0.0234901058121866,-0.0186493313792427,0.00377291674840913,0.0382871082149968,21.7872361044602,9.83016460581482,5.62231457912261,5.80094112629142,28.1540227079102,0.0882052198115544,0.190329103076202
3,4,10,-0.0239459660190816,-0.026745098765322,-0.0206977134038232,0.00759087047525197,0.0935952138317308,787.888001498821,245.215425237694,83.5315778043452,37.2238063139497,23.5643679400145,3.7371637102348,4.67524008309836
4,1,10,-0.0242178634514721,-0.0256519216100621,-0.02336998507103,0.00077870809696439,0.00873045564184023,23.5113359441928,10.2293430096795,6.2555101008567,5.11178988042701,3.79518717298577,0.0937407408680013,0.213409050479341
4,2,10,-0.0223788050388227,-0.0243818752976861,-0.0205653566128575,0.00111922682734402,0.0122178750078812,22.0758443080119,10.4324921623571,5.45464133989131,4.55534912065289,7.15616631120035,0.0897243468801948,0.222001215101502
4,4,10,-0.0207512374758205,-0.026458375298279,-0.017175912077375,0.00757463954145013,0.0717034487314122,798.283761316112,248.688338066137,82.925763012157,35.2917250606007,23.970845707778,3.76986137835665,4.6916435501137
5,1,10,-0.0210658718174739,-0.0219516041262178,-0.0192258212699862,0.000779969290977342,0.00764222367410088,21.9806433590181,8.72233622434305,5.83327822487158,4.9265050970149,3.99397023276323,0.0949776715355999,0.209587863649608
5,2,10,-0.0238718464675786,-0.0263479504778878,-0.021527010415314,0.000779125950823534,0.00756583513928911,17.1103032348732,6.6564401593527,4.76990277819016,4.22721179732063,4.01047026481901,0.0706365891079445,0.195489988729321
5,4,10,-0.023672199079239,-0.0280328163343931,-0.0185386300955912,0.00916779175964848,0.0896237099396109,772.967578996723,245.419338717744,76.8363262324275,27.6288239453982,50.5903043020296,3.55646021559866,4.53129370808494
