CobNumber,BiasCurrentMicroA,RunNumber,SourcePath,DeclaredSampleCount,SampleRateHz,DcMeanOutputV,TimeStdOutputV,PeakToPeakOutputV
2,2,6,[raw waveform omitted; see data/raw/README.md],951683,50000,-0.0263356607650159,0.00300931910458821,0.0347812274318294
2,2,7,[raw waveform omitted; see data/raw/README.md],951683,50000,-0.0267310203700756,0.00302291506536326,0.0318229960917896
2,2,8,[raw waveform omitted; see data/raw/README.md],951683,50000,-0.0270016762208255,0.0030454478576052,0.0333522861871093
2,2,9,[raw waveform omitted; see data/raw/README.md],951683,50000,-0.0274952841468347,0.00308141045049391,0.0392842677331739
2,2,10,[raw waveform omitted; see data/raw/README.md],951683,50000,-0.0279793254844496,0.00304291420824794,0.0328420288791734
2,4,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0459287404761517,0.00863523786715529,0.083811768435265
2,4,2,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0437715597702444,0.00869259118083517,0.0842686721825096
2,4,3,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0462352373879576,0.00877770113709591,0.0840650793354203
2,4,4,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0481782371787229,0.00891730617266608,0.0850480874467878
2,4,5,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0448416244956735,0.00907726131286664,0.0849393073125464
2,4,6,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0451493829661653,0.00864985992359614,0.0817501273118084
2,4,7,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0453385812262176,0.00908022830746856,0.0861158150410183
2,4,8,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0461457493695732,0.00887341371171758,0.0855525721432237
2,4,9,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.046392389611276,0.00894381508862147,0.0875349768807281
2,4,10,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0470352584422666,0.0089384299983737,0.0825765610713627
3,1,1,[raw waveform omitted; see data/raw/README.md],900001,50000,-0.0231127390035854,0.000917486791203067,0.0168210208349684
