run_number,asd_1_hz_nv_per_sqrt_hz,asd_1000_hz_nv_per_sqrt_hz
1,4.5496817924989514,5.2059003228925267
2,4.899487245498074,5.1618194607802979
3,4.797702785804387,5.189419210831046
4,5.792670435587123,5.1634224470736747
5,4.6841002734816612,5.2560636234216016
6,4.4925634180962843,5.1202710489024206
7,5.2307531000884389,5.1928029768602766
8,5.6428770353158519,5.2504255199577177
9,4.8624388869435977,5.315040522888026
10,6.2251564505340511,5.1302864949497851
11,5.1786674027186228,5.1435393349649381
12,4.8721507659620791,5.2472836413320945
13,5.6263859735471513,5.1963059651297536
14,3.9714831875875451,5.1432032362901365
15,4.6592114691128872,5.1793864495278026
16,5.2488888263768469,5.1145330056841392
17,4.8524849990063466,5.2162798898505711
18,4.9376273602718488,5.1271806564062956
19,5.677396788795261,5.189757286757624
20,6.3912904362759519,5.1983704254504302
21,5.4122036845609713,5.2079468661388031
22,5.0013886467652977,5.2136390909945094
23,5.4744507420430581,5.2074040299749544
24,5.0932512962888268,5.3085505737040162
25,4.9971477872927679,5.2656664109590592
26,5.4827182757219273,5.1462849784142577
27,6.8963914062588518,5.1388662050406255
28,4.8093239183731615,5.1709296284076212
29,4.0871557538081023,5.0649377022139896
30,5.5381524554240285,5.1505383000273746
31,4.1806673489611716,5.1420836323030992
32,4.9540561578834943,5.0863243810187644
33,5.2513173132918842,5.1130333688750689
34,5.1515696715389065,5.0974933711807724
35,5.6523093491769076,5.2550448620967067
36,5.914518602707302,5.0583739008793742
37,4.3913764869183387,5.1783667701321869
38,4.7461113705600599,5.2469095537097363
39,6.0347100549534805,5.1693537316751197
40,4.3595428201076336,5.2403764442362375
41,5.5879546369200206,5.1672405714181604
42,5.141310254951275,5.2939838784001925
43,6.2812836288534033,5.2145735652021514
44,5.4594143718918113,5.1668347245910562
45,5.3858488056078402,5.1410436127187014
46,4.6515283989127738,5.2404967129031252
47,5.1625341706656185,5.147511045694138
48,4.946419816061181,5.2536652796047196
49,4.4875051541628492,5.0919783610158698
50,4.6917629095189488,5.1280487566448114
51,5.3908198644967564,5.1418203251645105
52,5.2852600521556266,5.1668473247300621
53,5.3402353807792231,5.1074679698381891
54,5.4891611564222016,5.1783451979257764
55,5.4689678008665457,5.2742158592582173
56,5.2161959857645082,5.3173293568467166
57,5.3810032079109025,5.1727872057915398
58,5.8740180096894772,5.2121735313495456
59,4.8423682110669493,5.0981122339703582
60,4.9944023177941244,5.1587312443041036
61,4.3537535641674925,5.2300867305827712
62,3.9352334367204551,5.1822578981050658
63,7.2204157150375252,5.1472355624677064
64,5.9429278928195677,5.2535478584422339
65,4.9489003330202452,5.1811514065054496
66,5.4466144761078628,5.1405765554684324
67,5.0807765794999717,5.1135757102655308
68,4.4524328020969133,5.3142152499062396
69,5.1523397114593399,5.0929725837097406
70,4.973546682996238,5.1027699162183158
71,5.3966839004726213,5.1975812885322368
72,5.6425497518253476,5.2483584412593363
73,5.9294957374524015,5.2605934614885141
74,6.8881647869489191,5.092944052246148
75,5.1414697563402596,5.1340362419216685
76,5.9936430766701942,5.2534598129544365
77,5.1329560337578464,5.1838974434590002
78,5.3240685156901471,5.133064372780531
79,5.57985288622708,5.0723973514303404
80,5.7648965891982904,5.1473059417380354
81,5.5735553594325378,5.1627210694168726
82,4.8913135436014299,5.0898604145631419
83,5.7295788564622896,5.1552692642402622
84,4.4099856899752741,5.1798763727143777
85,4.8136806927218148,5.0697031019065122
86,5.472490370924322,5.1606097072999919
87,4.5540693894148694,5.095461179440572
88,4.9478632202121213,5.2658187879502929
89,5.2787839548233269,5.164090232660679
90,5.7870551860891997,5.1593306891896553
91,4.2827854494346305,5.1667045886616165
92,5.5811688888449842,5.1156934677604564
93,4.7049196683484196,5.1991093890154652
94,4.9572276869381939,5.1718318954625238
95,5.3369032038317714,5.0850900619887929
96,4.6363323961756091,5.0820823572598028
97,5.8776143959690739,5.2349671717492638
98,4.583493976194533,5.173808380655613
99,5.3712046539439688,5.169364782711555
100,5.674334765311797,5.1159873780515186
