Frequency_Hz,Current1p2_ASD_V_per_rtHz,NominalCurrent_ASD_V_per_rtHz,Current1p2_vs_Nominal_dB
1,5.8348407880815e-06,6.96798589040697e-06,-1.54156504777907
1.0594630943593,5.61821554811139e-06,6.20062193178839e-06,-0.85673709555978
1.12246204830937,5.85577162947736e-06,7.30600632060759e-06,-1.92191824720409
1.18920711500272,5.42888249987904e-06,6.27872827757284e-06,-1.26322493102342
1.25992104989487,6.31348268260651e-06,6.54018149817975e-06,-0.306416142697384
1.33483985417003,5.43308847068481e-06,7.46872393921207e-06,-2.76399260465515
1.4142135623731,5.50482917108173e-06,6.06465142917827e-06,-0.841239964774442
1.49830707687668,5.77154817641975e-06,6.11408031407454e-06,-0.500776282422385
1.5874010519682,5.48270582602512e-06,5.92536838450406e-06,-0.674408228843905
1.68179283050743,5.63334630347821e-06,5.39225544181623e-06,0.379919848104396
1.78179743628068,5.39098184102518e-06,5.72004643374715e-06,-0.51463370669975
1.88774862536339,4.60214833914737e-06,5.43067225296453e-06,-1.43785960883057
2,4.46708713095694e-06,6.20925891482846e-06,-2.86030692011839
2.11892618871859,4.68079725703604e-06,5.43186044486649e-06,-1.29257545870652
2.24492409661875,5.25768005129907e-06,5.29299739187448e-06,-0.0581505159218414
2.37841423000544,5.42303604125996e-06,5.09077251507511e-06,0.54917600090975
2.51984209978975,5.3394098263414e-06,5.42253320473784e-06,-0.134179273594552
2.66967970834007,4.89028588712085e-06,5.51150539086809e-06,-1.03871975455378
2.82842712474619,4.43256350398211e-06,5.44008966805959e-06,-1.77902183672838
2.99661415375336,4.97125116377827e-06,5.10766275141488e-06,-0.235130165868076
3.1748021039364,4.96222020502497e-06,5.75522927567454e-06,-1.287731937933
3.36358566101486,4.89402725228399e-06,5.24789538753758e-06,-0.606375715401036
3.56359487256136,4.93423314201229e-06,5.49511439428093e-06,-0.935141434994889
3.77549725072677,4.81897836477164e-06,5.05135787996646e-06,-0.409063242256601
4,4.71423189501034e-06,5.61212384459711e-06,-1.51432608688
4.23785237743718,4.84280686926196e-06,5.10330426999445e-06,-0.455086258259339
4.48984819323749,5.51559244846255e-06,5.49887553328792e-06,0.0263655751736846
4.75682846001088,4.48143252474007e-06,5.92153939115733e-06,-2.42035521666605
5.03968419957949,5.41809984440223e-06,5.1008835334651e-06,0.524031927173114
5.33935941668014,5.06639697925128e-06,5.21758582900689e-06,-0.255407716763252
5.65685424949238,4.79423176678339e-06,5.29753280394614e-06,-0.86709258882973
5.99322830750673,5.40206384352549e-06,5.16405952879668e-06,0.391369451363678
6.3496042078728,5.07782617815862e-06,5.37881176508452e-06,-0.50017031835022
6.72717132202972,4.46009186770373e-06,4.99347775543822e-06,-0.981186305528359
7.12718974512272,4.90204014463079e-06,5.34958668239173e-06,-0.758867310051723
7.55099450145355,4.77128609974129e-06,5.12509900253187e-06,-0.621336006012116
8,5.12697534781086e-06,4.8608876358213e-06,0.462912943320005
